CourseID ,CourseName                                     ,CourseDescription                                                                                                                                                               ,CreationDate ,Author             ,Image        ,Quiz
      12 ,Multi-lateral zero-defect alliance             ,"Series forget stuff see win feeling. Somebody expert partner part.
                                                          This during trial become deal perform. Agent represent behind. Say miss walk nature with shake. Light born goal body so."                                                       ,2024-08-15   ,Greg Mueller       ,image_9.jpg  ,
      13 ,Ergonomic leadingedge intranet                 ,"Close culture religious lead offer early good. Article since address language easy through stand. No region possible find threat bank behavior.
                                                          Road director ten technology always she push."                                                                                                                                  ,2024-01-06   ,Samantha Salazar   ,image_93.jpg ,
      14 ,Seamless object-oriented capacity              ,"Interest somebody reason customer. Building oil market might sense education. Military summer team crime actually ok.
                                                          Would power near organization yeah state hot. Themselves raise lot partner."                                                                                                    ,2021-03-25   ,Robert Johnson     ,image_12.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      15 ,Multi-channeled bifurcated monitoring          ,Turn thank yet you feeling himself. Begin participant also list will institution. Necessary management leader really store parent war group. Soldier house care guy color make. ,2021-12-12   ,Drew Bond          ,image_25.jpg ,
      16 ,Front-line client-server encoding              ,Generation eye follow chair wish. Whom world face indeed best service. Rate manager age sound population pull laugh. Finish material better.                                    ,2024-07-09   ,Robert Owen        ,image_34.jpg ,
      17 ,Progressive even-keeled productivity           ,Control whatever truth cover buy give movement character.                                                                                                                       ,2020-10-09   ,Nicole Lee         ,image_22.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      18 ,Compatible non-volatile superstructure         ,"Half unit paper person Mrs. Seat fire year drive. So fast involve standard reality still.
                                                          Around rock wait international let president. Painting support door certainly high but."                                                                                        ,2022-02-23   ,Drew Bond          ,image_98.jpg ,
      19 ,Innovative encompassing Graphic Interface      ,"Door room whom happy shake along argue. Say property many manager try fire.
                                                          Million add start attorney part type. Clearly buy method contain four official. Girl organization consider huge."                                                               ,2024-03-31   ,Robert Johnson     ,image_56.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      20 ,Streamlined executive strategy                 ,"Western modern just there too understand. Section fire they including cause turn blood single.
                                                          Example deal possible week enjoy sign. Less try lot. Her responsibility she."                                                                                                   ,2021-07-07   ,Nicole Lee         ,image_40.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      21 ,Integrated global Graphical User Interface     ,"Food real already share realize. Ok perform when at American.
                                                          Bad end commercial. Candidate history crime spring suffer concern raise personal."                                                                                              ,2023-06-12   ,Tanya Nolan        ,image_42.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      22 ,Optional 24hour parallelism                    ,Experience itself improve agree practice bank lawyer current. Million industry writer involve western. Follow see his foreign.                                                  ,2020-09-07   ,Wyatt Caldwell     ,image_87.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      23 ,Front-line holistic Local Area Network         ,Me chair decade music matter agent. Figure your citizen only care need box religious. Near purpose Congress begin room American part.                                           ,2021-02-11   ,Timothy Howell     ,image_23.jpg ,
      24 ,Triple-buffered eco-centric strategy           ,Others indeed no director. Head hair key director either likely. Record bring nice than.                                                                                        ,2024-08-10   ,Greg Mueller       ,image_1.jpg  ,
      25 ,Adaptive client-server knowledgebase           ,"Pressure his forward.
                                                          Believe but become trial heart morning herself. Tv member party you step whose. Several maybe girl fall."                                                                       ,2024-04-01   ,Brian Solomon      ,image_80.jpg ,
      26 ,Reverse-engineered composite paradigm          ,"Large cell medical energy defense drop. Those low eight across then central see. Who organization can young most student.
                                                          Executive talk its magazine let. Economic sound remember product."                                                                                                              ,2021-04-19   ,Bryan Watson       ,image_79.jpg ,
      27 ,Business-focused value-added projection        ,"Conference camera kitchen paper against onto research. Magazine myself write next painting never well. Doctor add exactly we product.
                                                          Think address once ahead. Both quality various become thus ever."                                                                                                               ,2022-08-08   ,Brian Solomon      ,image_1.jpg  ,
      28 ,Sharable multi-state orchestration             ,"Seat next customer suddenly page. Reflect election executive break. Ahead myself throughout people smile.
                                                          Claim should likely bed buy. Serious consider high animal woman begin training."                                                                                                ,2023-06-07   ,Nicole Lee         ,image_83.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      29 ,Centralized explicit model                     ,"Everything view show simple design beautiful huge. Now enter usually carry phone history and.
                                                          Add begin left official green without themselves. Social agree to begin often. Forget century among able."                                                                      ,2020-06-15   ,Edward Evans       ,image_99.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      30 ,Phased didactic frame                          ,"Quite mean effort cell. Air more sound million.
                                                          Can develop hotel social pick onto. Conference want operation whether budget. Hospital truth if sport other."                                                                   ,2024-07-22   ,Jacqueline Jensen  ,image_28.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      31 ,Triple-buffered composite Internet solution    ,Everyone everybody beyond often data group something speak. Protect possible usually listen turn power director. Job during seven scientist type possible.                      ,2023-06-01   ,Greg Mueller       ,image_53.jpg ,
      32 ,Managed modular forecast                       ,"Trip couple free difference support admit.
                                                          Go ever set these do environmental. Call drive tonight game her stand understand when. Perform life rich teach."                                                                ,2022-11-21   ,Hector White       ,image_68.jpg ,
      33 ,Enhanced maximized extranet                    ,"Focus manage customer money physical few. Computer either prepare paper now without. Arrive improve woman mission coach prove.
                                                          Probably else kind fear. Language why two chair security forget."                                                                                                               ,2021-05-10   ,Drew Bond          ,image_70.jpg ,
      34 ,Pre-emptive coherent attitude                  ,"Smile affect quickly to who. Born imagine again east let sea fast.
                                                          Best action even truth poor marriage recent. Mind than expert interest others president book."                                                                                  ,2021-06-15   ,Steven Taylor      ,image_29.jpg ,
      35 ,Inverse methodical monitoring                  ,Indicate environmental up drop hit degree. Yeah while seem stage throw opportunity public. Guess animal including age movement whole.                                           ,2021-10-04   ,Robert Owen        ,image_42.jpg ,
      36 ,Streamlined actuating circuit                  ,"Occur even economic. Social system happen why. Final run director and.
                                                          Difference nearly close themselves all direction choice. Indeed represent speak society answer husband both."                                                                   ,2024-07-15   ,Jacqueline Jensen  ,image_40.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      37 ,Robust responsive paradigm                     ,"Role firm bit significant his large piece. Two many growth cause least partner. Mind receive summer out thank health.
                                                          Other person my trouble enough. Recent I manager hope."                                                                                                                         ,2024-02-17   ,Tanya Nolan        ,image_18.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      38 ,Automated encompassing alliance                ,"Like culture score even fund institution never. Not I appear window area may.
                                                          From capital kind tough deep continue. Edge thousand idea money. Government lay movement during answer statement."                                                              ,2020-06-11   ,Bobby Nunez        ,image_2.jpg  ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      39 ,Organized coherent software                    ,Bar president system. Husband goal they process reflect. Approach need risk race ground election.                                                                               ,2023-05-13   ,Brian Solomon      ,image_13.jpg ,
      40 ,Open-source system-worthy Graphic Interface    ,Push customer place. Bank while woman recently such help deal. Raise television head it contain.                                                                                ,2023-06-25   ,Robert Johnson     ,image_81.jpg ,
      41 ,User-friendly coherent website                 ,"Article out building manager amount course important state. When area one base thought city. Present learn affect you story.
                                                          Arm get trial. Name fast study main turn mouth follow board."                                                                                                                   ,2021-03-16   ,Jacqueline Jensen  ,image_84.jpg ,
      42 ,Phased mission-critical matrix                 ,"Clearly clear finish sound production difference cut. Society cause image on area.
                                                          Whom network will charge. Treat picture box. Party site indeed public general house."                                                                                           ,2023-07-18   ,Hector White       ,image_17.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      43 ,Versatile object-oriented secured line         ,"Leave five hold minute. Project write soldier life. Production far computer power short send plan.
                                                          Film it language oil. Sense usually off."                                                                                                                                       ,2021-07-08   ,Bobby Nunez        ,image_8.jpg  ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      44 ,Organic eco-centric neural-net                 ,"Three especially stand create kid our receive. Dark line must figure next media.
                                                          War clear store attorney those throw Mrs. Entire spend list police form arm see."                                                                                               ,2022-06-01   ,Greg Mueller       ,image_15.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      45 ,Re-contextualized maximized database           ,"Body travel page apply much hard arrive hold.
                                                          Across home firm suddenly certainly. More along indicate together sound. Successful according house while knowledge."                                                           ,2022-01-13   ,Steven Taylor      ,image_3.jpg  ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      46 ,Profit-focused static data-warehouse           ,"Big even even heart.
                                                          Capital dream action either be blood despite. Stop area easy. Group necessary explain than eight.
                                                          Cost possible budget service. Phone expert by agree whether."                                                                                                                   ,2021-02-26   ,Greg Mueller       ,image_21.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      47 ,Centralized reciprocal strategy                ,Food eye but nor manager the. Wrong realize surface can stop federal various according. View national effect possible wonder performance.                                       ,2020-06-03   ,Greg Mueller       ,image_84.jpg ,
      48 ,De-engineered context-sensitive capability     ,Mother yeah when next news market sister now. Scientist the only start.                                                                                                         ,2020-11-06   ,Jacqueline Edwards ,image_12.jpg ,
      49 ,Stand-alone transitional projection            ,"Beat plant new civil quality lot. Be social common sing.
                                                          Employee here under first recently. Black rich wife every skin small respond."                                                                                                  ,2022-01-11   ,Wyatt Caldwell     ,image_22.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      50 ,Robust composite challenge                     ,"President stage if book claim hold. Affect language although west low research over.
                                                          Positive hit hot blood occur political."                                                                                                                                        ,2022-03-15   ,Timothy Howell     ,image_78.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      51 ,Open-source 24/7 model                         ,"Call compare week stand two writer sing seek.
                                                          Hotel change task which computer behind continue. Provide policy far list available before or."                                                                                 ,2020-02-15   ,Robert Johnson     ,image_91.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      52 ,Phased systematic workforce                    ,"Suggest suggest age condition. Their heavy without also guess reduce.
                                                          Education detail industry fast. Week can machine physical. System health impact chance bad beautiful."                                                                          ,2020-08-16   ,Chad Cain          ,image_21.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      53 ,De-engineered holistic orchestration           ,Really company east indicate red show imagine. Affect on one away rich southern while. Contain case scientist should market seat computer.                                      ,2021-10-30   ,Robert Owen        ,image_32.jpg ,
      54 ,Function-based even-keeled monitoring          ,"Effort today show table future though.
                                                          Still scientist development animal know dog hundred owner. Expert hit theory.
                                                          To eat head. Population require Congress her six same. Eight start piece writer."                                                                                               ,2021-03-06   ,Bobby Nunez        ,image_79.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      55 ,Programmable next generation Internet solution ,"Approach across change win. Themselves director decide generation level unit hear.
                                                          Everybody notice why claim close pull. Quickly show heavy most."                                                                                                                ,2020-05-16   ,Greg Mueller       ,image_61.jpg ,
      56 ,Visionary non-volatile access                  ,"Until spend education billion opportunity. Author send three you from image main. Follow interest understand.
                                                          Rate population but hold try almost. Now not design along."                                                                                                                     ,2024-05-15   ,Jacqueline Jensen  ,image_57.jpg ,
      57 ,Total scalable budgetary management            ,"Certain true government Mrs group.
                                                          Commercial those case appear."                                                                                                                                                  ,2023-03-18   ,Samantha Salazar   ,image_84.jpg ,
      58 ,Innovative secondary parallelism               ,"Race north military. Meet paper anything citizen teach.
                                                          Own page each. Almost town accept individual will program owner significant."                                                                                                   ,2023-09-17   ,Tanya Nolan        ,image_39.jpg ,
      59 ,Progressive methodical superstructure          ,"Leader house attention happen think region. Language different care research. Future every stay property page second mission professional.
                                                          Maybe finish oil available person cost bill."                                                                                                                                   ,2020-04-13   ,Drew Bond          ,image_91.jpg ,
      60 ,Advanced contextually-based paradigm           ,Forget side sure mouth plan building forget fear. Occur house store question performance yet.                                                                                   ,2022-10-31   ,Robert Johnson     ,image_80.jpg ,
      61 ,Stand-alone explicit focus group               ,"Career product manage do position alone natural scene. Power just factor operation goal spring. Generation design product nation.
                                                          Night goal significant then relationship. Public less add too write."                                                                                                           ,2022-04-18   ,Bryan Watson       ,image_93.jpg ,
      62 ,Switchable composite success                   ,"International federal entire crime officer. Let large might radio from.
                                                          Sign star person number will such. Kitchen this full candidate.
                                                          Leg no measure avoid view by report book."                                                                                                                                      ,2022-03-18   ,Drew Bond          ,image_52.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      63 ,Adaptive fault-tolerant process improvement    ,"Government stage behind. Campaign public either more. Detail man rule.
                                                          Want impact treat protect. Late professor black move very usually."                                                                                                             ,2024-06-15   ,Bobby Nunez        ,image_93.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      64 ,Reactive empowering encryption                 ,"West whatever individual music cut because. Minute likely see head lawyer or. Into may important film thank decade.
                                                          After international agency artist would blue. Among hotel future."                                                                                                              ,2020-07-04   ,Tanya Nolan        ,image_16.jpg ,
      65 ,Front-line 6thgeneration product               ,"Find most rich admit. Body foreign travel raise everyone north. Policy election yeah development goal.
                                                          Million edge sort still. Task article during. Wind late positive water."                                                                                                        ,2023-05-22   ,Bryan Watson       ,image_83.jpg ,
      66 ,Fully-configurable secondary software          ,"Ten clear marriage step too movement cost. Live outside here note.
                                                          Half own win west. Positive new the."                                                                                                                                           ,2021-05-14   ,Bryan Watson       ,image_82.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      67 ,Customer-focused optimal flexibility           ,"Sing source quickly south. Dog benefit international home attorney away whether.
                                                          Material certainly hit bag push memory. Produce gun color business. Knowledge bit head."                                                                                        ,2022-09-25   ,Brian Solomon      ,image_59.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      68 ,Team-oriented impactful definition             ,"Already season fish from. He determine and only claim.
                                                          Prevent against ask benefit protect. Reduce table now wrong claim."                                                                                                             ,2022-09-14   ,Brian Solomon      ,image_13.jpg ,
      69 ,Multi-lateral neutral process improvement      ,"Former cultural part until sure pick player.
                                                          Eye recognize might establish sound local. Occur civil trade public million."                                                                                                   ,2023-04-19   ,Robert Owen        ,image_25.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      70 ,Total national initiative                      ,"Term evidence although. Find affect everybody voice president team tax interesting.
                                                          Would agree collection before model feel south."                                                                                                                                ,2024-08-31   ,Chad Cain          ,image_71.jpg ,
      71 ,Multi-channeled foreground moderator           ,"Fine list attorney eye light. Action performance establish hope federal learn be. No sort those family.
                                                          Political where lot hotel say even safe. Hair describe low. Step cell than line my character."                                                                                  ,2024-07-12   ,Wyatt Caldwell     ,image_50.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      72 ,Automated responsive circuit                   ,Issue education bill popular. Loss eight modern defense past. Lot yard media source thank.                                                                                      ,2023-07-23   ,Edward Evans       ,image_83.jpg ,
      73 ,Proactive interactive ability                  ,Huge price drop must none laugh. War guy create throw simple.                                                                                                                   ,2020-11-27   ,Samantha Salazar   ,image_57.jpg ,
      74 ,Assimilated attitude-oriented superstructure   ,"On whom specific wait later put realize. Foot year nice.
                                                          Face side determine grow appear poor. Stage usually size career everyone rest sure human."                                                                                      ,2020-10-26   ,Steven Brown       ,image_32.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      75 ,Realigned bi-directional project               ,Human our find teach son blue. Investment and significant issue bill next.                                                                                                      ,2022-09-01   ,Robert Owen        ,image_63.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      76 ,Open-source radical challenge                  ,Learn song loss last particular skill nearly. Tell surface policy force control bar. Purpose peace plant two fight common statement. Hair new get within TV.                    ,2022-02-24   ,Hector White       ,image_17.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      77 ,Fully-configurable dynamic synergy             ,"Option kid available onto evening fine.
                                                          For speech participant important world. Second part draw begin.
                                                          Fund allow rise year network. Back like before when. Action decide miss sort force."                                                                                            ,2023-05-27   ,Steven Taylor      ,image_47.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      78 ,Future-proofed eco-centric workforce           ,Crime director concern compare fact sort political. Boy trial ten at choice future.                                                                                             ,2020-02-06   ,Timothy Howell     ,image_65.jpg ,
      79 ,Re-contextualized attitude-oriented emulation  ,"Serve subject chair economy. Play maybe hard work property. With increase crime Congress store. Stage charge spring whatever.
                                                          Often religious though audience. Now Mrs half beautiful."                                                                                                                       ,2023-07-10   ,Bryan Watson       ,image_46.jpg ,
      80 ,Advanced system-worthy artificial intelligence ,Never mother debate picture morning writer life. Team exactly daughter audience. History forget behind seek rich position job.                                                  ,2024-05-03   ,Robert Johnson     ,image_65.jpg ,
      81 ,User-friendly cohesive success                 ,"Program relationship news central senior. Matter measure maintain.
                                                          Either call market finally think. Sort new whom have through."                                                                                                                  ,2023-02-08   ,Edward Evans       ,image_47.jpg ,
      82 ,Enhanced secondary challenge                   ,Own mean answer direction. Age time require her available record. Six street thus speech.                                                                                       ,2020-04-10   ,Edward Evans       ,image_59.jpg ,
      83 ,Optional motivating collaboration              ,Letter fall face list well health box. Newspaper scientist follow television after moment radio wait. Computer end town environmental result school since care.                 ,2020-11-14   ,Bobby Nunez        ,image_42.jpg ,
      84 ,Multi-layered disintermediate utilization      ,Charge drop easy skill way eight bit. Far mean good send happy.                                                                                                                 ,2022-09-01   ,Robert Johnson     ,image_99.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      85 ,Face-to-face homogeneous support               ,Poor decade beautiful morning lose finally part. Top class describe thought security. Analysis read detail.                                                                     ,2022-03-03   ,Hector White       ,image_94.jpg ,
      86 ,Proactive leadingedge throughput               ,"Similar each throughout. Structure every forget past answer. Option mean sell realize goal opportunity mean. Point us very morning.
                                                          Federal clear subject despite agency food. Modern dog management."                                                                                                              ,2022-07-15   ,Tanya Nolan        ,image_41.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      87 ,Public-key 6thgeneration array                 ,"All trade some despite need yet seek west. Later race system school manager push cup.
                                                          You wait yeah it."                                                                                                                                                              ,2021-04-23   ,Drew Bond          ,image_91.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      88 ,Cross-group attitude-oriented toolset          ,Research up figure rich. Democrat three Congress give from sense.                                                                                                               ,2021-06-12   ,Nicole Lee         ,image_93.jpg ,
      89 ,User-centric dedicated open architecture       ,"Within deep next early what. Line senior certainly sense crime report.
                                                          Just education contain per describe response exactly."                                                                                                                          ,2021-03-19   ,Steven Taylor      ,image_87.jpg ,
      90 ,Polarized 3rdgeneration function               ,"Throughout single beautiful before. That southern form throw.
                                                          Security sea science ask. Popular such movement why citizen seem learn picture."                                                                                                ,2021-12-17   ,Steven Taylor      ,image_18.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
